time,height,required_height
1.480000000000001,3.7105241739647847,3
1.490000000000001,3.696507382745802,3
1.500000000000001,3.68268386439875,3
1.5100000000000011,3.669052189326744,3
1.5200000000000011,3.6556108621347887,3
1.5300000000000011,3.6423583275390365,3
1.5400000000000011,3.6292929759079686,3
1.5500000000000012,3.616413148457129,3
1.5600000000000012,3.6037171421177643,3
1.5700000000000012,3.5912032140985493,3
1.5800000000000012,3.5788695861584476,3
1.5900000000000012,3.56671444860771,3
1.6000000000000012,3.554735964053016,3
1.6100000000000012,3.5429322709018347,3
1.6200000000000012,3.531301486640195,3
1.6300000000000012,3.5198417108972317,3
1.6400000000000012,3.5085510283090953,3
1.6500000000000012,3.4974275111940716,3
1.6600000000000013,3.4864692220500757,3
1.6700000000000013,3.475674215885026,3
1.6800000000000013,3.465040542389997,3
1.6900000000000013,3.45456624796447,3
1.7000000000000013,3.4442493776024574,3
1.7100000000000013,3.434087976647766,3
1.7200000000000013,3.4240800924261863,3
1.7300000000000013,3.414223775761932,3
1.7400000000000013,3.4045170823852424,3
1.7500000000000013,3.394958074237645,3
1.7600000000000013,3.3855448206809995,3
1.7700000000000014,3.3762753996161003,3
1.7800000000000014,3.3671478985162615,3
1.7900000000000014,3.358160415381006,3
1.8000000000000014,3.3493110596146765,3
1.8100000000000014,3.34059795283451,3
1.8200000000000014,3.332019229612448,3
1.8300000000000014,3.3235730381547115,3
1.8400000000000014,3.3152575409229383,3
1.8500000000000014,3.307070915200449,3
1.8600000000000014,3.2990113536070136,3
1.8700000000000014,3.291077064565283,3
1.8800000000000014,3.2832662727218804,3
1.8900000000000015,3.2755772193259562,3
1.9000000000000015,3.2680081625678628,3
1.9100000000000015,3.2605573778804406,3
1.9200000000000015,3.2532231582052713,3
1.9300000000000015,3.2460038142261056,3
1.9400000000000015,3.2388976745715587,3
1.9500000000000015,3.231903085989031,3
1.9600000000000015,3.2250184134917084,3
1.9700000000000015,3.218242040480385,3
1.9800000000000015,3.211572368841744,3
1.9900000000000015,3.205007819024652,3
2.0000000000000013,3.1985468300959083,3
2.010000000000001,3.192187859776835,3
2.020000000000001,3.185929384461988,3
2.0300000000000007,3.179769899221204,3
2.0400000000000005,3.1737079177861376,3
2.0500000000000003,3.1677419725223515,3
2.06,3.161870614387985,3
2.07,3.1560924128799503,3
2.0799999999999996,3.1504059559685538,3
2.0899999999999994,3.1448098500213915,3
2.099999999999999,3.1393027197173113,3
2.109999999999999,3.133883207951191,3
2.1199999999999988,3.1285499757302366,3
2.1299999999999986,3.123301702062466,3
2.1399999999999983,3.1181370838379943,3
2.149999999999998,3.113054835703713,3
2.159999999999998,3.108053689931913,3
2.1699999999999977,3.103132396283365,3
2.1799999999999975,3.0982897218653496,3
2.1899999999999973,3.093524450985091,3
2.199999999999997,3.088835384999023,3
2.209999999999997,3.084221342158295,3
2.2199999999999966,3.0796811574508944,3
2.2299999999999964,3.07521368244074,3
2.239999999999996,3.0708177851040825,3
2.249999999999996,3.0664923496635232,3
2.259999999999996,3.062236276419949,3
2.2699999999999956,3.058048481582652,3
2.2799999999999954,3.0539278970978976,3
2.289999999999995,3.049873470476184,3
